,rate_member,location,rate_score,rate_date,comment,beer_url,beer_name,year,month,day
17,RedStickPhil,New Mexico,4.13,2024-01-13,"Really good, but world class is a stretch. Looks great with a nice color, ok head, nice lacing. Unremarkable nose. The best feature is a taste that combines maltiness without sugariness with hoppiness without bitterness, all of which pleasantly lingers on the palate.",https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2024,1,13
18,BigWheelz,New York,4.54,2023-12-29,"I generally favor the very malty, hazy NEIPA's. This beer pours a clear dark amber. It has a smooth mouth feel and a very well balanced flavor that hits a perfect balance between sweet and hoppy. Every other beer I've had with an abv this high has a powerful alcohol taste - but not this beer. It goes down very smoothly and puts you in an awesome mood. I'm pretty sure that if everyone in the world simulateously drank a 16oz'r of this beer, we would achieve world peace.",https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2023,12,29
19,TreeTopCasino,Washington,4.75,2023-12-23,Lives up to the hype.,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute IPA,2023,12,23
60,SicemWT,Texas,4.66,2024-02-29,,https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2024,2,29
61,TeachChefs,Pennsylvania,4.95,2024-02-24,,https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2024,2,24
62,Tbone10,Wisconsin,4.69,2024-02-02,,https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2024,2,2
63,sbradley41,Pennsylvania,4.18,2024-02-01,,https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2024,2,1
64,Allurex,Kansas,4.12,2024-01-28,,https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2024,1,28
65,AmitC,New York,4.06,2024-01-12,,https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2024,1,12
66,Kdog311,Texas,4.96,2023-12-20,,https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2023,12,20
67,JLaw55,Missouri,4.75,2023-12-02,,https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2023,12,2
68,Jcreek,Illinois,4.29,2023-12-01,,https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2023,12,1
69,jchanley,Illinois,4.56,2023-12-01,,https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2023,12,1
70,Nyoder,0,5.0,2023-11-25,,https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2023,11,25
71,BillTheCat4Pres,Texas,5.0,2023-11-14,,https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2023,11,14
72,Lexluthor33,New York,4.61,2024-02-27,"Golden orange with a small head and light, bubbly lace.
aroma of mango, pine, hops and fruits.
taste is hoppy, fruit flavors followed by intense hops.
great balance overall.
Some malts in background.",https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2024,2,27
73,AdmiralOzone,Minnesota,4.64,2024-02-21,"Pours clear honey gold with a thick white head that leaves generous lacing as it slowly fades. Aroma is bold, fresh citrus and tropical fruit with some pine. Flavor follows the nose, slightly sweet fruit up front with a real punch of bitterness in the finish. Feel is light bodied with ample carbonation. Overall, a real fine beer.",https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2024,2,21
74,The_Dean,Illinois,4.85,2024-02-13,"World class, poured from the bottle into a plastic hotel room cup in San Jose. Paired with In-N-Out DD. Wonderful.",https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2024,2,13
75,MalteredBeast,0,0.0,2023-12-21,"The quintessential west coast ipa. Hoppy and bitter which lingers. Had both on tap and in bottle. So much has been said about this one already. To be honest, as much as I liked it, I guess with its massive reputation, I was expecting a bit more. This one suffered from too high of expectations.",https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2023,12,21
76,george_pond,Maine,4.2,2023-12-11,"I found this at Nocturnem Draft Haus in Bangor, Maine. It was very good but maybe the hype caused my expectations to be set too high. I have yet to find a beer that equals the robust flavor of Eldridge Pope’s original Thomas Hardy’s ale. 
The color was bright and clear; the flavor crisp and balanced. I’m sure I won’t get too many arguments if I say it is an excellent beer.",https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2023,12,11
77,JacobusFavier23,Texas,4.36,2023-12-02,"Had on tap for the first time ever at a bar in Denver.

L-Golden colored beer with lively carbonation. Lacy thin head that stays around for a while.
S-Strong notes of floral, and fruity notes. Lots of apple and some strawberry, pineapple and blueberry. Fresh hop, earthy and piney resin, slight sweetness that follows.
T-Minimal yet bitter bite, slight crisp sweetness. Grainy and floral flavor throughout. Peppery bite. Some strawberry, blueberry and apple as well. Fresh.
F-Crisp, light and bubbly mouthfeel. Very light. Refreshing.
O-A damn good and perfectly crafted ipa. I can see how this is world class. Incredibly fresh and refreshing from end to end. Articulate flavor profile. Rewarding to drink. It started it all, and everyone is trying to recreate it’s greatness. It did it first. Glad I got to try it.",https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2023,12,2
78,erickc,Washington,4.41,2023-11-25,"Had on tap at Special Brews Lynnwood, WA",https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2023,11,25
79,Alrogio,Oregon,5.0,2023-10-29,"This is the standard by which all other IPA's shall be hence forth judged. I have tasted perfection, and it is Pliny the Elder!",https://www.beeradvocate.com/beer/profile/863/7971/,Pliny The Elder,2023,10,29
120,DrBass,Maryland,4.75,2024-02-29,,https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2024,2,29
121,Beecham,California,4.7,2024-02-29,,https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2024,2,29
122,TheMeowMeow,0,4.99,2024-02-23,,https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2024,2,23
123,mush,Illinois,4.74,2024-02-17,,https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2024,2,17
124,gongfu,Connecticut,4.01,2024-01-31,,https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2024,1,31
125,emccormi,0,5.0,2024-01-20,,https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2024,1,20
126,CJRubes,Massachusetts,4.78,2024-01-20,,https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2024,1,20
127,Maxxis,Illinois,4.0,2024-01-09,,https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2024,1,9
128,JMBoyer,Massachusetts,4.93,2024-01-06,,https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2024,1,6
129,Smithbo,Pennsylvania,4.73,2024-01-01,,https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2024,1,1
130,bk66,Massachusetts,4.69,2024-01-01,,https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2024,1,1
131,thenatural10,0,5.0,2023-12-31,,https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2023,12,31
132,Icecoldbepsicola,Massachusetts,4.65,2023-12-27,,https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2023,12,27
133,TheRealBen,Massachusetts,4.79,2023-12-20,,https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2023,12,20
134,mtnav,Michigan,4.82,2023-12-05,,https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2023,12,5
135,matcris,Arizona,4.99,2024-02-23,"Lots of mango, peach, melon, apricot, pine, and even mint in the aroma and flavor; smacks you right in the face.

Looks like a well made double IPA; good head retention, lacing.

Nice, full body and full carbonation, nice sweetness on top of the palate with a balanced bitterness on the tongue that builds.

Slightly sticky up front and finishes dry. 

Superb DIPA all around. Love it.",https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2024,2,23
136,Roxchambeau,New Jersey,4.62,2024-01-25,"Wandered into a store while out on an errand and was approached by an employee who offered a case from the back. Score! 

This beer is unlike anything I've had before. It's almost ""pure"" hop flavor. Earthy, natural, no distractions. Light carbonation, smooth mouth feel, no alcohol burn, just HOPS! 

Nice long finish. Glad I finally got to try after hearing so much about these brews.",https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2024,1,25
137,CObrewsbaby,Colorado,4.56,2024-01-21,"Found this beer yesterday at my local liquor world. It was limited to one pack per person and it was the last one in the store. I sent it because I was so curious. I looked it up and people have a hard time getting their hands on it during the limited time they sell. It’s honestly the best IPA I’ve had, it doesn’t leave the nasty hoppy flavor lingering, it’s crisp and almost fruity. Really cool can in my opinion too, really simple but unique. Lucky find on my part.",https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2024,1,21
138,Jduckart,Oregon,5.0,2023-12-28,Like drinking magic.,https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2023,12,28
139,mvanaskie13,Pennsylvania,4.37,2023-12-17,"Poured into narrow imperial pint glass: color is straw godl, hazy but not dense, head is off white with mixed bubbles, presents 1+ finger thick, solid top remains and lacing on the glass sides. 

Smell is citric, floral, light malt with biscuit and oats/wheat notes. 

Taste is well balanced - aroma is enhanced just before tasting with biscuit/herbal/floral notes, taste is citric rind/pith, floral, herbal notes, then biscuit/oaty note, lighter sweet malt. 

Mouthfeel is low/moderate carbonation, moderate sweetness, moderate bitterness. 

Overall a brew that lives up to its status - hops, light malt, balanced bitterness and sweetness.",https://www.beeradvocate.com/beer/profile/46317/16814/,Heady Topper,2023,12,17
180,sbradley41,Pennsylvania,3.85,2024-02-22,,https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2024,2,22
181,Zachboyd3334,Indiana,5.0,2023-11-25,,https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2023,11,25
182,Nyoder,0,4.08,2023-11-25,,https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2023,11,25
183,Oktoberfest,Ohio,4.5,2023-11-15,,https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2023,11,15
184,EXACTLY,Michigan,3.79,2023-11-01,,https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2023,11,1
185,whistler55,Missouri,4.63,2023-09-20,,https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2023,9,20
186,ctbeerman1,Connecticut,4.28,2023-09-01,,https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2023,9,1
187,kraut6363,Pennsylvania,4.48,2023-07-22,,https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2023,7,22
188,Z-Hoole,Indiana,4.69,2024-02-18,"notes: pine and honey
very impressed with this",https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2024,2,18
189,UWDAWG,Washington,4.03,2024-01-08,"Poured from a 12 ounce can with a best by date of 2-15-24 at 52 degrees in a snifter.

Look- Medium amber, very slight haze, light tan frothy head, above average head retention and lacing.

Smell- Biscuit, grapefruit, pine, honey, medium strength of scent.

Taste- Grapefruit, biscuit, honey, slight pine, moderately sweet, highly astringent, high strength of flavor.

Feel- Full body, slightly below average carbonation, highly creamy, highly bitter, slightly mouth warming, highly astringent.

Overall- The medium amber color was the first indication this was going to be a malt forward beer. The above average head retention and lacing helped to keep the look number at 4. The bouquet was definitely malt forward with grapefruit as a strong secondary aroma. The flavor was malt forward and pleasant right up until the astringency got in the way. The flavor rating would definitely have been higher without the astringency. The feel with full body and high creaminess was outstanding, but the astringency once again held my rating down by overshadowing the positive attributes. Overall this was a solid beer that was just too malt forward and astringent for my taste. I bet fifteen years ago this beer would have been mind blowing, but now it’s fairly average amongst the enormous available options.",https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2024,1,8
190,TwilightBeerCareer,Illinois,4.4,2024-01-02,"Always stayed away from Hopslam because of the 10% abv. Was out and about today and it was on tap at the place I stopped, so I opted for just a taster. The alcohol is barely present, which was a surprise. A good malt backbone compliments the generous hopping. Well done. Not anything I would drink, but was glad to give it a try.",https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2024,1,2
191,mpk2020,Illinois,4.5,2023-12-15,Draft at whole foods in Pittsburgh,https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2023,12,15
192,jonhodges,Georgia,5.0,2023-12-13,Best Beer to date.,https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2023,12,13
193,sjrider,California,4.41,2023-12-06,Can pour - clear orange/amber with foamy off white head leaving frosty lacing. Nose is sweet malt with a lot of resiny pine and hints of citrus. Taste follows with a bit of alcohol creep on the finish. A treat for hopheads.,https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2023,12,6
194,upsbeernut,Georgia,1.45,2023-11-21,Well got a real bad batch with emphasis on drink by dates which really shouldn’t be allowed to use. That’s not an honest way to distribute beer cause of environmental affects that make the beer lose its taste. The average rookie consumer will not be able to judge to buy the beer or not. My two six packs were poured out and 40 bucks went down the drain too. Bought in November with the carton saying best by January 24 th. Guess what the bottom of the can revealed? January 2036. Now I haven’t a clue when it was canned. No recourse from Bells as I expected. Just another who cares.,https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2023,11,21
195,ClemsonMike,South Carolina,4.56,2023-11-08,"It seems as though Hopslam’s popularity has fallen off since its heyday about 15 years ago. This is not justified by the quality of this brew. This beer is as good as ever. Just purchased a few six packs of a 10/24 canned on date. Terrific balance of malt, hops, sweetness, and a bit of a booziness. I look forward to its release every year, now in October. This is a true classic and belongs in the beer Hall of Fame.",https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2023,11,8
196,Orca,Washington,4.42,2023-10-28,"12oz can (best by 1/3/2024, so packaged 10/3/2023) into a tulip. Pours a honey golden amber with a monstrous fluffy off-white head, nice clumpy lacing clings to the inside of the glass. 

Aroma is resinous and piney; sweet bready malt and I’d guess mostly Simcoe, Centennial, and Amarillo hops in abundance. Some grapefruit rind. 

Taste is a blast of sweet fruity malt and resinous, citrusy hops. Honey evident. Lots of pine, grapefruit, hop oils. Then more resin and pine. Some alcohol. Intense. This beer just grabs your palate by the throat and takes no prisoners. 

Mouthfeel is full-bodied, chewy, slick. Tongue-coating. Sticks with you. 

Overall I’d consider this a “statement” beer. It’s strong, bold, unapologetic. Still it manages to hold a tight balance between the solid malt bill and copious hops, so it’s clearly well crafted. Nicely done.",https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2023,10,28
197,EVH5150,0,0.0,2023-09-18,I always grab a few six packs of this legend when it comes out every January -ish. Seems much easier to find the past few years but absolutely a must try beer. I've always loved the faint taste and mouthfeel of honey hidden behind the massive hops and malt. One of the best beers i've ever had.,https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2023,9,18
198,Hobbs87,New York,4.48,2023-08-10,Excellent DIPA. One of the best. Only drawback is that it has a pretty strong alcoholic aroma and taste which people may not prefer. Really good but just not quite in the same level as a Heady Topper or Pliny the Elder.,https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2023,8,10
199,nwalke16,Michigan,5.0,2023-07-26,"This is the best Imperial IPA that I've had so far. 4.45/5 is too low. Firstly, the smell and taste is exactly what a West Coast Imperial IPA should taste like. The hops are complex and massive, but balanced with the malt and the sweetness. The overall taste is not like a 10% ABV beer, but tastes more like something that is 8%. I would really like to compare it to both Heady Topper and Pliny the Elder, but this is the best beer that Bells Brewery makes.",https://www.beeradvocate.com/beer/profile/287/17112/,Hopslam Ale,2023,7,26
240,RomanIPAFreak,California,4.75,2023-09-30,,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2023,9,30
241,ctbeerman1,Connecticut,4.18,2023-09-05,,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2023,9,5
242,TangoWhiskey,0,4.34,2023-04-24,,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2023,4,24
243,TSinclair71,0,5.0,2023-03-23,,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2023,3,23
244,Beergod420,Michigan,4.57,2023-01-23,,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2023,1,23
245,magic_swaggin,Georgia,4.14,2023-01-07,,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2023,1,7
246,LAM01833,Massachusetts,3.75,2022-07-31,,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2022,7,31
247,USAF-Mike,California,4.69,2022-06-11,,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2022,6,11
248,not2quick,Missouri,4.33,2022-05-20,,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2022,5,20
249,Pitervandries,0,3.0,2022-04-05,,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2022,4,5
250,Thadtrick,Pennsylvania,4.02,2022-03-13,,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2022,3,13
251,Danzifer,Ohio,4.24,2022-01-17,,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2022,1,17
252,wisrarebeer,Wisconsin,3.97,2022-01-06,,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2022,1,6
253,Patrick2012,California,4.27,2021-12-06,,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2021,12,6
254,rdub,Pennsylvania,4.5,2021-10-11,,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2021,10,11
255,LunchMoney,Minnesota,4.38,2021-10-01,,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2021,10,1
256,MonDak_Joe1953,Minnesota,4.41,2023-09-25,"12oz can. This one is labeled 'Enjoy By 10.31.23', with the bottom date stamp being 'PACKAGED RV 08/28/23'. Black can with yellow highlights.
Cloudy, pale gold colored body. One finger of white head which retreats quickly to a few islands and a ring. Leaves behind thicker webs of lacing.
Aroma of pine resin and orange/grapefruit/pineapple hops.
Taste is juicy and bright. Flavors of orange marmalade, some grapefruit, and pineapple. Good amount of pine resin but the bitterness is balanced with the juicy sweetness.
Thicker than medium mouth feel. Coats the mouth and tongue. Good carbonation.
Well balanced and tasty. Higher ABV% is well hidden.",https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2023,9,25
257,Captain69,Illinois,4.1,2022-10-14,"i've had 12 other enjoy by date beers . they all were rated a 4 , one a 4.5 all were 9.4 % this is a hazy ipa pours a yellow haze with nice hop sell a great beer to grab a couple six packs// just had their 10-31-22 an it was amother great ipa smooth citrus and hoppy",https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2022,10,14
258,whitro17,Florida,4.6,2022-05-01,Stone Enjoy by 4-20-22 Hazy IPA 9%. Smell is a bit dank & tropical with a little alcohol. I can taste a hint of alcohol followed by the tropical sweetness and nice hop flavor on the back end that lingers. This is another winner by Stone Brewing.,https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2022,5,1
259,PathofChaos,Maryland,4.53,2021-10-22,"Appearance:
Translucent, pastel gold. Proffers up two fingers of finely minced froth that’s white as an untouched snowcap. Modest retention gives way to sudsy, webbed lacing.

Bouquet:
A mango, pineapple, peach smoothie rife with tangy Citra and bright, tangerine-sweet Amarillo, woven together with slender strands of earthy Mosaic.

Feel:
Full-bodied and thick with hop oils, the texture is given a much needed third dimension by a boisterous, peach fuzz carbonation.

Taste:
A huge chomp of just-ripe, yellow mango topped with shreds of candied orange peel. Then, lemony Citra and the tropic sweetness of Amarillo rise like flowers from the distinct, new earth flavor of Mosaic hops. Concludes on a long, low, afterburn of hop bitters and sauvignon blanc.",https://www.beeradvocate.com/beer/profile/147/84596/,Enjoy By IPA,2021,10,22
300,bigdog772,Pennsylvania,4.08,2024-02-25,,https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2024,2,25
301,Nyoder,0,3.77,2024-02-23,,https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2024,2,23
302,Plonk,Alabama,4.31,2024-02-21,,https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2024,2,21
303,LA2ED7,0,4.43,2024-02-20,,https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2024,2,20
304,BLVBBERGIXLL,Arizona,4.64,2024-02-19,,https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2024,2,19
305,DavyJonesXXX,Texas,4.44,2024-02-14,,https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2024,2,14
306,RalphStanley34,French Polynesia,4.32,2023-11-28,,https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2023,11,28
307,BillTheCat4Pres,Texas,5.0,2023-11-14,,https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2023,11,14
308,The_Kriek_Freak,Pennsylvania,4.34,2023-11-11,,https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2023,11,11
309,Iggy88,Ohio,4.25,2023-11-07,,https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2023,11,7
310,highdesertdrinker,Arizona,4.25,2024-03-02,"Pours a nice, bright gold with about a finger of head that goes pretty fast. The smell is pine, grapefruit, and some heat. The taste is like licking a cut grapefruit with good bitterness, malty, hefty, piney, and maybe a little more nuance than the original with some peach and orange thrown in. I never drank the original super fresh except maybe on tap but this is superb and is for people that really love bitter IPA’s, and I do, cheers!",https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2024,3,2
311,Thankin_Hank,Texas,4.15,2024-03-01,"Ruination is a clean malty looking brew and has a nice fragrant head. Lacing is pretty and the taste is strong. The bitterness lingers on the tongue. A rich, strong IPA that would need some acquired taste. From a 32 ounce crowler my buddy brought me yesterday from What’s On Tap.",https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2024,3,1
312,TooManyGlasses,Canada (AB),4.36,2024-02-18,"Single purchased from Trader Joe’s in Oceanside,CA.
Pours a brilliantly clear orange golden with scant white head (though did pour slowly).
Aroma is piney, citrus, with some floral notes as it warmed - a bit earthy and dank.
Taste hits the palate with a pale malt sweetness that quickly succumbs to the hop explosion of pine, grapefruit peel, and an aggressively earthy bitterness.
Full coating mouthfeel with moderate carbonation and an earthy and piney bitterness that lingers forever.",https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2024,2,18
313,haines710,Delaware,4.32,2024-02-12,Classic west coast ipa from Stone and it delivers. I swear I reviewed this beer before when I had it in bottles but it’s 2024 and now in cans and better than ever. Great smell when opening the can and mouthfeel is fantastic. Smooth drinking - you’ll never know that this is an imperial ipa. Alcohol is hidden and easy to drink. I might need another six pack!,https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2024,2,12
314,Rednekhippie,Tennessee,4.28,2024-02-10,"Just tried the new 2024 release of Ruination. Poured into a glass from the gold can. Color is bright and clear golden yellow with a very thin white head that dissipated quickly. Aroma is clean and not noticeably floral. This leads me to believe it is not the OG recipe. The taste is also not floral but pleasantly bitter. My memory of previous Ruinations is a more earthy bitterness with considerably more on the nose. Don’t get me wrong, I’m glad I managed to snag three sixers of the new release. It is definitely a double IPA worth the name and I will likely pick up a couple more. This is a well executed albeit one dimensional IPA.",https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2024,2,10
315,cyclonece09,Wisconsin,4.18,2024-02-10,"Poured from a bottle into a pint glass. Pours red orange with a fluffy white head. Smells of citrus and earthy hops. Tastes of dank citrus and piney hops. Beer is light bodied and easy drinking, good carbonation. Overall, a very good beer.",https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2024,2,10
316,Beers-es,Virginia,4.6,2024-02-08,"From a three-week-old can, pours a brilliantly clear deep gold. Smell is initially very floral, transitioning to citrus and resinous pine. Taste is complexly fruity and dank, with a delicious, bracing bitterness. I love this beer.",https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2024,2,8
317,Oktoberfest,Ohio,4.44,2024-02-07,"An OG IPA, slightly modified from the days of 7.7 ABV. Cans and bottles don't do this beer any favors. On tap is where it's at to really capture the flavor.",https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2024,2,7
318,hman43,North Carolina,3.77,2023-12-25,"Look: It pours golden and clear. It has a white head with very good retention. 

Smell: There are some herbal notes with some toffee and citrus. 

Taste: There are citrus flavors with pine and herbal notes. It has low toffee notes. 

Feel: It has a medium body with a bit of slickness on the tongue. It has a mildly bitter finish. 

Overall, there are some nice hop flavors with the malts being well into the background.",https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2023,12,25
319,spectru,Florida,3.99,2023-12-24,"Slightly hazy, medium amber, white head recedes to a cap, some lacing; interesting taste, somewhat bitter, nice character; good mouthfeel; from Stone’s 12 Days of IPA, at Christmas time. Good.",https://www.beeradvocate.com/beer/profile/147/4083/,Ruination IPA,2023,12,24
360,Danzifer,Ohio,4.15,2024-02-17,,https://www.beeradvocate.com/beer/profile/220/74986/,Lagunitas Sucks,2024,2,17
361,dan58,Ohio,4.0,2023-02-12,,https://www.beeradvocate.com/beer/profile/220/74986/,Lagunitas Sucks,2023,2,12
